match_id,Winner,Blue Picks,Red Picks
152,Red,"Ornn,Ivern,Jayce,Jinx,Nautilus","Sion,Poppy,Azir,Zeri,Rakan"
153,Blue,"Gnar,Sejuani,Ahri,Zeri,Rell","K'Sante,Ivern,Jayce,Kai'Sa,Alistar"
154,Red,"K'Sante,Sejuani,Taliyah,Xayah,Nautilus","Gwen,Ivern,Jayce,Kai'Sa,Rell"
155,Red,"Ornn,Vi,Akali,Xayah,Nautilus","Renekton,Sejuani,Cassiopeia,Zeri,Braum"
156,Red,"Renekton,Sejuani,Azir,Zeri,Milio","Darius,Maokai,Xerath,Kai'Sa,Rakan"
157,Blue,"K'Sante,Ivern,Azir,Xayah,Nautilus","Gnar,Maokai,Taliyah,Ezreal,Rakan"
158,Red,"Jax,Maokai,Tristana,Zeri,Rakan","Poppy,Trundle,Neeko,Kai'Sa,Nautilus"
159,Blue,"Kled,Rell,Neeko,Ezreal,Rakan","Renekton,Ivern,Azir,Xayah,Alistar"
160,Blue,"Darius,Ivern,Tristana,Zeri,Braum","Renekton,Evelynn,Jayce,Kai'Sa,Nautilus"
161,Blue,"Kled,Rell,LeBlanc,Kog'Maw,Braum","Renekton,Ivern,Kai'Sa,Zeri,Lulu"
162,Red,"Gnar,Lee Sin,Azir,Kai'Sa,Rell","Camille,Poppy,LeBlanc,Varus,Alistar"
163,Red,"Renekton,Sejuani,Azir,Aphelios,Rell","Gnar,Ivern,LeBlanc,Sivir,Alistar"
164,Blue,"Poppy,Ivern,Azir,Ezreal,Rell","Renekton,Viego,Corki,Kalista,Alistar"
165,Blue,"Renekton,Rell,Azir,Kai'Sa,Nautilus","Gnar,Maokai,Ahri,Aphelios,Alistar"
166,Blue,"Aatrox,Maokai,Taliyah,Kai'Sa,Alistar","Renekton,Zac,Azir,Zeri,Rell"
167,Blue,"Renekton,Viego,Azir,Kai'Sa,Rell","K'Sante,Maokai,Taliyah,Zeri,Alistar"
168,Blue,"K'Sante,Gragas,Tristana,Xayah,Rakan","Renekton,Lee Sin,Neeko,Zeri,Alistar"
169,Red,"Jax,Viego,Azir,Kai'Sa,Rakan","K'Sante,Maokai,Jayce,Zeri,Alistar"
170,Blue,"K'Sante,Viego,Neeko,Zeri,Leona","Malphite,Nocturne,Ahri,Xayah,Rell"
